"prey","noise","noise.obs","sp.obs","beta","low95","low75","high75","high95","site"
135,22.7820448,52.66810537,92.8430287011874,55.3579230651208,-7.25818304679767,19.1651152382206,90.6086771151638,115.434488471261,"be10"
135,24.3058317278571,61.36623707,134.910624286191,55.5459666230855,-6.64935692499187,19.7336454624507,89.6343073167259,113.535841284005,"be11"
135,25.8296186557143,53.33908051,75.4781700196089,55.2339664544783,-7.27953722277278,19.9420402040823,89.4447357572902,112.627992159001,"be12"
135,27.3534055835714,22.7820448,113.027060432772,55.0286479143473,-5.38448054761452,20.5244297091721,88.6618333130946,112.783139934128,"be13"
135,28.8771925114286,35.69318226,128.436605300249,55.0484761606685,-5.44960462121135,20.6546574480746,88.4981611228129,111.827307584454,"be14"
135,30.4009794392857,62.04908789,51.1172315687977,55.0146230124125,-4.99392773266411,20.6033782075294,88.148100106043,111.229664894996,"be15"
135,31.9247663671429,65.44807878,91.3273946512333,54.9644432155926,-3.31461418190061,21.7451334684991,87.3777893517403,110.206026022955,"be16"
135,33.448553295,53.02830912,62.8114200607866,54.76206159822,-3.7975702670419,21.5072378620066,87.013349394218,109.554947688465,"be17"
135,34.9723402228571,60.28212414,129.251645902354,55.0655625679655,-3.49845852164065,21.665908303071,86.6610782886221,109.097196521623,"be18"
135,36.4961271507143,60.96691113,116.221265229209,55.0201900080836,-3.36729217681586,21.8874399961514,86.3853761284067,108.146068553413,"be19"
135,38.0199140785714,43.26008627,136.288295944185,54.9120114249474,-2.89816509801244,22.2310209595951,86.0512579231573,107.928741435111,"be2"
135,39.5437010064286,55.93704508,42.0892228596357,54.8183617845821,-2.12056923436359,22.450746086267,85.7441494266713,106.993286210624,"be20"
135,41.0674879342857,56.10110296,114.606994436392,54.7478846833924,-1.46786184071573,22.6340841554011,85.3259813185505,106.932026843239,"be21"
135,42.5912748621429,54.75406244,75.6690188754914,54.7700727693627,-1.42741951456294,22.866211462792,85.201478472236,106.029433932932,"be22"
135,44.11506179,57.95421413,73.0961275957871,54.4349414606483,-1.08176647669621,22.7098949634313,84.6995433898536,106.161182519403,"be23"
135,45.6388487178571,55.44684048,83.8031367373695,54.4584116436062,-1.38722036722682,23.054645661603,84.3957265934628,105.923409504886,"be24"
135,47.1626356457143,61.89823691,72.6147370450266,54.60032626052,-1.03980834411283,23.1206408385487,84.2811599951209,105.062342968454,"be25"
135,48.6864225735714,55.76390495,87.3847723303344,54.3432891732337,-1.8513798942376,23.1083642244406,83.9262807052101,104.701297758496,"be26"
135,50.2102095014286,58.71132952,91.4812775394335,54.2067578787671,-0.593735773828447,23.2733454652604,83.8758749341175,104.419161187525,"be27"
135,51.7339964292857,47.81166132,69.7940586280103,54.0520565686789,-0.193397615891941,23.1389173940155,83.7194364350523,104.703614818855,"be28"
135,53.2577833571429,55.97481527,64.6825508609248,54.1463395434701,-0.973155642417735,23.0431372091923,83.6189357718963,104.432228231633,"be29"
135,54.781570285,34.29763251,86.6994755330013,53.9372594049259,-0.159107871776953,23.0538934717156,83.4314854949678,104.802101801673,"be3"
135,56.3053572128571,50.23587216,41.883222309447,54.075900248413,-1.06153315965649,23.1388742911785,83.6264377163629,104.736233960487,"be30"
135,57.8291441407143,40.46670322,139.117779889373,53.8239813068501,-0.812567692899633,22.8699077585941,83.1866053228507,103.215414901138,"be4"
135,59.3529310685714,64.45059606,63.9065928225897,53.8880316048558,-1.25003484671919,23.0207620587329,83.1354966564384,103.912128729316,"be5"
135,60.8767179964286,57.41307161,49.8981685569708,53.6610321260538,-1.23019424330176,22.8031228954492,83.0343125232513,103.697811951888,"be6"
135,62.4005049242857,54.41609878,134.032147963155,53.7740967471574,-1.31919943671891,22.432587486841,83.0295227581366,103.324584041728,"be7"
135,63.9242918521429,60.4470315,67.3112250518556,53.6365186054805,-1.70693045587855,22.342142105076,83.8137013232354,104.898322895207,"be8"
135,65.44807878,38.10811377,95.0979757675994,53.4908556427446,-1.20029455964418,22.7156109369436,83.1983326481587,104.227093537789,"be9"
199.068965517241,22.7820448,52.66810537,92.8430287011874,82.3636748869965,23.6100458238174,48.6775833944059,114.409766764494,136.774425059038,"be101"
199.068965517241,24.3058317278571,61.36623707,134.910624286191,81.4752546874505,23.4198628736108,48.3180966006881,113.14254378591,135.37038029561,"be111"
199.068965517241,25.8296186557143,53.33908051,75.4781700196089,80.4516984300822,22.1553282818942,47.6998318068509,112.021950234143,133.70056288678,"be121"
199.068965517241,27.3534055835714,22.7820448,113.027060432772,78.9991050552347,21.6467395561934,46.6382891219425,110.387390121982,132.496284413821,"be131"
199.068965517241,28.8771925114286,35.69318226,128.436605300249,78.5690732396875,20.8438081876701,45.6413256868963,109.784378141079,131.97116279654,"be141"
199.068965517241,30.4009794392857,62.04908789,51.1172315687977,77.2850455280475,20.5552330211245,45.0025130356161,108.092062375757,129.807194195687,"be151"
199.068965517241,31.9247663671429,65.44807878,91.3273946512333,76.2678759903984,19.2757462685245,43.6999109328169,107.279904916366,128.46870715846,"be161"
199.068965517241,33.448553295,53.02830912,62.8114200607866,75.312202360345,17.8274321362981,43.1715972714515,105.878470063895,127.293198343806,"be171"
199.068965517241,34.9723402228571,60.28212414,129.251645902354,74.2013607013938,17.6808738777252,42.1717484154502,104.803028696938,126.542101454529,"be181"
199.068965517241,36.4961271507143,60.96691113,116.221265229209,73.3610606529613,16.8201975762258,41.5980931435391,103.624590292155,124.968739201984,"be191"
199.068965517241,38.0199140785714,43.26008627,136.288295944185,72.5026348084293,15.3103246700472,40.7010569864029,102.428270216729,123.360203927793,"be210"
