SITE,Turdus_merula,Motacilla_alba,Anthus_trivialis,Fulica_atra,Parus_caeruleus,Carduelis_cannabina,Saxicola_rubetra,Fringilla_coelebs,Dendrocopos_major,Corvus_monedula,Sylvia_communis,Acrocephalus_arundinaceus,Garrulus_glandarius,Pica_pica,Alauda_arvensis,Locustella_naevia,Passer_montanus,Phylloscopus_trochilus,Charadrius_dubius,Certhia_brachydactyla,Sylvia_borin,Phoenicurus_phoenicurus,Hippolais_icterina,Pyrrhula_pyrrhula,Serinus_serinus,Emberiza_citrinella,Miliaria_calandra,Anser_anser,Muscicapa_striata,Carduelis_chloris,Picus_viridis,Accipiter_gentilis,Galerida_cristata,Parus_cristatus,Podiceps_cristatus,Phoenicurus_ochruros,Passer_domesticus,Prunella_modularis,Lullula_arborea,Columba_oenas,Phasianus_colchicus,Coccothraustes_coccothraustes,Sylvia_curruca,Sitta_europaea,Dendrocopos_minor,Parus_major,Corvus_corax,Cuculus_canorus,Aix_galericulata,Apus_apus,Buteo_buteo,Delichon_urbicum,Dendrocopos_medius,Sylvia_atricapilla,Luscinia_megarhynchos,Corvus_corone,Lanius_collurio,Oriolus_oriolus,Hirundo_rustica,Columba_palumbus,Emberiza_schoeniclus,Locustella_luscinioides,Circus_aeruginosus,Podiceps_grisegena,Erithacus_rubecula,Locustella_fluviatilis,Aegithalos_caudatus,Saxicola_torquatus,Dryocopus_martius,Turdus_philomelos,Regulus_ignicapilla,Accipiter_nisus,Sylvia_nisoria,Sturnus_vulgaris,Oenanthe_oenanthe,Carduelis_carduelis,Anas_platyrhynchos,Columba_livia,Parus_palustris,Acrocephalus_palustris,Parus_ater,Gallinula_chloropus,Acrocephalus_scirpaceus,Ficedula_hypoleuca,Streptopelia_decaocto,Falco_tinnunculus,Coturnix_coturnix,Certhia_familiaris,Strix_aluco,Phylloscopus_sibilatrix,Rallus_aquaticus,Jynx_torquilla,Motacilla_flava,Regulus_regulus,Troglodytes_troglodytes,Phylloscopus_collybita,Tachybaptus_ruficollis
BE28,14,1,0,2,31,0,0,46,11,0,0,0,4,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,3,0,3,0,18,1,28,0,0,0,0,1,0,0,11,0,0,0,0,0,6,0,0,0,0,25,0,0,0,1,9,6,0,0,3,0,2,2,0,3,0,0,0,1,8,0,0,0,2,0,4,0,0,0,0,9,2,0
BE29,41,0,0,0,11,0,0,3,2,0,0,0,5,9,0,0,14,0,0,0,2,5,0,0,0,0,0,0,0,9,0,0,0,0,0,10,56,0,0,0,0,0,5,1,0,13,0,0,0,0,0,0,0,6,0,12,0,0,0,15,0,0,0,0,2,0,0,0,0,0,0,0,0,18,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE3,25,0,1,0,23,0,0,21,9,0,0,2,2,2,0,0,5,0,0,9,0,8,0,1,4,7,0,1,0,5,0,0,0,7,0,1,22,1,2,0,0,3,3,5,0,29,1,0,0,0,0,0,0,12,3,1,0,0,7,5,0,0,0,0,10,0,0,0,0,7,2,1,0,7,0,1,0,2,0,0,4,0,0,9,0,0,0,1,0,8,0,0,0,0,9,11,0
BE30,46,0,0,0,11,0,0,0,2,0,0,0,1,2,1,0,15,0,0,1,1,9,0,0,0,0,0,0,0,9,1,0,0,0,0,1,78,1,0,0,1,0,7,0,0,22,0,0,0,0,0,0,0,13,10,2,0,0,0,18,0,0,0,0,3,0,1,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
BE4,40,0,0,0,44,0,0,36,22,0,0,0,5,0,0,0,7,0,0,10,0,7,0,0,0,0,0,0,0,6,1,0,0,0,0,2,14,0,0,1,0,5,3,23,0,52,0,0,0,0,0,0,0,13,0,8,0,1,0,19,0,0,0,0,17,0,4,0,1,14,12,0,0,8,0,0,0,0,1,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,26,3,0
BE5,11,0,0,0,5,0,0,0,1,1,0,0,2,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,5,116,0,0,0,0,0,0,0,0,6,0,0,0,5,0,1,0,0,1,7,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE6,16,0,0,0,22,0,0,3,1,0,0,0,0,5,0,0,0,0,0,3,0,5,0,0,3,0,0,0,0,2,1,0,0,0,0,2,76,0,0,0,0,0,1,0,0,15,0,0,0,2,0,1,0,8,0,8,0,0,0,10,0,0,0,0,3,0,0,0,0,1,0,0,0,8,0,1,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
BE7,51,1,0,0,23,0,0,0,1,0,0,0,2,7,0,0,3,1,0,4,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,5,279,0,0,0,0,0,1,1,0,22,0,0,0,37,0,2,0,10,1,22,0,0,0,32,0,0,0,0,2,0,0,0,0,1,0,0,0,11,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BE8,22,0,0,0,10,0,0,0,1,0,0,0,1,6,0,0,7,0,0,2,0,6,0,0,4,0,0,0,0,9,0,0,0,0,0,6,73,0,0,0,0,0,3,0,0,14,0,0,0,0,0,0,0,5,3,13,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0
BE9,17,0,0,3,29,0,0,55,19,0,0,0,4,0,0,0,0,1,0,12,0,2,0,0,0,0,0,0,1,0,0,0,0,6,1,0,0,0,0,1,0,7,0,14,0,27,0,1,0,0,0,0,1,14,1,1,0,0,0,5,0,0,0,0,22,0,0,0,1,5,5,0,0,2,0,0,0,0,10,0,5,0,3,3,0,0,0,6,0,13,0,0,0,0,14,3,0
