"","pop_100m","distance_water","impervious_surface","light","noise","open_green","temp_cooldown","temp_day","temp_night","tree_cover"
"Nh_02",0.0148821622133255,833.604248046875,3.87851548194885,161.342407226562,76.0647506713867,0.398299068212509,-0.474000006914139,17.1968002319336,10.335599899292,46.470817565918
"Nh_04",0,835.162170410156,0,206.710632324219,53.0074081420898,0.266181409358978,-0.761600017547607,26.2544002532959,13.9952001571655,45.9131050109863
"Nh_05",0,883.398254394531,26.6925811767578,252.728485107422,51.3345794677734,0.629949569702148,-0.84799998998642,31.4419994354248,15.2040004730225,0
"Nh_10",0,1276.119140625,4.41656970977783,254.795867919922,53.8253135681152,0.925595104694366,-0.990000009536743,31.0499992370605,13.3800001144409,0
"Nh_11",0,799.732238769531,0,193.226135253906,65.7358474731445,0.912853837013245,-0.870000004768372,30.4799995422363,15.0699996948242,6.19235563278198
"Nh_51",0,629.066101074219,0,212.967910766602,45.0731773376465,0.951911866664886,-0.869199991226196,29.7863998413086,15.9075994491577,3.63686752319336
"Nl_03",0,884.464294433594,0,217.146865844727,51.5769462585449,1,-0.949999988079071,31.0036010742188,13.6547994613647,0
"Nl_05",0,19.1413955688477,8.6242208480835,254,58.3396987915039,0.40418604016304,-0.726400017738342,28.5180320739746,15.8500642776489,3.1932053565979
"Nl_14",0,1036.185546875,58.1923713684082,255,60.8127899169922,0.094584621489048,-0.759999990463257,28.3584003448486,14.2431993484497,24.2813320159912
"Nl_16",0,1381.78735351562,0,251.576400756836,68.3429718017578,0.832667291164398,-0.96560001373291,31.2756004333496,13.5620002746582,10.5557689666748
"Nl_200",37.9226760864258,632.903930664062,14.6404581069946,255,61.8784217834473,0.678791284561157,-0.706000030040741,26.2592010498047,14.5111999511719,5.28459167480469
"Nl_205",18.1027336120605,295.832733154297,12.7964849472046,255,71.9279327392578,0.558724045753479,-0.280000001192093,11.8319997787476,7.11600017547607,16.2666320800781
"Nl_206",0.829229474067688,397.285339355469,2.82453441619873,253.299453735352,67.1454010009766,0.7347412109375,-0.810000002384186,29.4080009460449,16.6439990997314,19.6833343505859
"Nl_208",64.0144577026367,1033.85168457031,31.3790016174316,253.924896240234,61.9439277648926,0,-0.639999985694885,31.1719989776611,17.9040012359619,55.2185935974121
"Nl_211",43.2080535888672,861.904907226562,60.850269317627,253.541259765625,68.6914138793945,0.173685178160667,-0.402799993753433,16.6212005615234,9.91399955749512,17.6402015686035
"Nl_214",0,121.3779296875,90.0084533691406,253.81901550293,70.4235076904297,0,-0.417999982833862,18.8360004425049,10.3540000915527,8.48687553405762
