"","pop_100m","distance_water","impervious_surface","light","noise","open_green","temp_cooldown","temp_day","temp_night","tree_cover"
"be19",26.9484177466078,300.365838514753,54.3840735849128,254.045677736581,60.9669111320771,0.0203578841541545,-0.561918068542538,22.6895800613495,12.5380603721343,37.6015358775495
"be25",65.5056969263907,176.737415560125,47.3816501906935,252.594085255308,61.8982369089811,0.0979005011891986,-0.595420102040733,25.1265284980883,14.66432410336,29.2355873088517
"be2",0,974.933080741687,0,229.015987767929,43.2600862747584,0,-0.799817448090284,27.8216800591885,17.4829555609287,79.3414797269381
"be16",17.2073769783796,1507.35994398045,46.0617387185037,248.97633993875,65.4480787779996,0.0960476999776292,-0.649231796110025,25.5325940822458,13.7157624416272,44.6039252580459
"be20",121.893975899859,581.603129912586,85.7232566833496,255,55.9370450833949,0.00140049696769338,-0.395215608797422,22.0656097365589,13.4678653112272,10.2660835391751
"be21",15.6908522674016,295.902634585345,18.7993400375994,254.994928511362,56.1011029601728,0.521240722928221,-0.736099476063693,28.2792224278526,16.5093565340395,20.5037209537452
"be23",289.61501906729,1616.58324265843,88.4443882201529,255,57.9542141251153,0,-0.375526904681612,20.1433785699951,12.3297338969816,6.06985054119563
"be27",61.2398926390501,1297.47555365668,66.2470602162679,253.853741115994,58.7113295152452,0.0272129236265189,-0.54658844123284,24.2052746730381,13.8076994811164,25.8173576622539
"be10",240.232042649213,887.995335216828,85.7081551985307,254.048444207339,52.6681053651208,0.00375581340787106,-0.403478073245064,21.8544083763571,13.6166588992359,6.98336640741417
"be13",0.261762928548197,89.6153431803451,0.00329474201474165,97.9061990846624,22.7820448010697,0.0623670937746029,-0.798874613534601,28.8204555412648,16.6464527604493,70.1160859616927
"be14",0.164031726283748,849.766584533354,7.31487115931527,248.044412096561,35.6931822603534,0.517760575251924,-0.610405519758833,21.3570701253825,10.8469131609489,36.3908745829979
"be12",64.4663932946595,846.259535356001,56.269183549014,253.592441038652,53.339080507105,0.116351676885229,-0.479806819253347,21.3394452983683,12.6610227091746,19.3742075311867
"be22",172.334608594167,426.429655684638,88.2682136751942,254.855651068933,54.7540624362906,0,-0.381086594818794,19.270004882026,11.766220812945,6.61741107352769
"be11",41.9517208707333,182.704083884954,48.0863507243712,253.543151016235,61.3662370681763,0.147960261813496,-0.505856003202498,21.745447883606,13.0369334769249,22.4873291664571
"be30",36.3515589032597,666.774967229934,39.4063483286605,252.639495994931,50.2358721638194,0.290718668126127,-0.640329998522066,25.0505058977008,13.5104040449858,30.2466934736641
"be17",0,1373.56079622968,0,190.838082088298,53.0283091176095,0.998551526261334,-0.99716582789493,30.9377125879029,13.2824782606345,0.124568729544405
"be15",0.279482723266,1114.94495874522,3.69275510604066,238.806461100676,62.0490878942061,0.692938283161849,-0.877191847380327,30.8836756239132,14.7516145754834,19.789343824268
"be9",0.0469962084251973,400.013371714839,0,218.354921129015,38.1081137657166,0.0216668446893083,-0.750764824725963,26.5701898115653,16.3897083997726,75.2532141561861
"be29",53.7252538473897,1094.53009889352,56.166453020605,253.005167827347,55.9748152650859,0.0559077655037389,-0.549272395097292,23.5213755050935,13.4138406088989,34.9615991773649
"be18",13.2179445905976,866.629304628114,45.1207243796941,247.559439829234,60.2821241430334,0.249245029932039,-0.68365621679538,27.7257403296393,14.6909536155494,30.5144501855244
"be28",0.0816066712610611,308.948697146247,1.33744486496479,147.206390380859,47.8116613195724,0.0386313761255759,-0.763373113479935,27.1157113483974,16.8802433214268,73.7941209809119
"be26",118.730648251847,199.394052824951,59.2832678701967,254.99868924747,55.7639049473654,0.161549929441687,-0.530774376075256,24.1052061372203,14.3765900804491,15.5339077521721
"be3",3.39738545601478,232.216335365675,19.4837995003698,172.592142959526,34.2976325108455,0.127707312310381,-0.747279642529078,27.4331394644345,15.2931654442489,55.4801494298477
"be5",138.503129150993,894.208412893195,77.6884292702926,254.386334308825,64.4505960564864,0.00474764757274993,-0.441054734587669,21.1430208532434,12.713682202289,12.7625678789655
"be6",95.8966274083407,412.409155333338,66.0528879717362,253.872889747304,57.4130716087404,0.0146751701771986,-0.522940504526304,24.3583223011868,14.4985092356185,24.7569582668587
"be7",202.998308690232,491.973489778084,89.4059498602884,255,54.4160987787079,0.00245263970767458,-0.384696490474437,20.0118488198832,12.3196535926116,7.43549860916264
"be8",59.844022897354,394.038757926539,80.5943834405196,254.457874659488,60.4470315029747,0,-0.545105266414191,25.6285410228528,14.6042040774697,17.7623840400851
"be24",159.898214972891,518.112824900557,69.3029690762846,254.990616514625,55.4468404816418,0.100172688075903,-0.420954143637564,19.8794049053657,11.8958594485027,14.9441918277011
"be4",10.4896544358134,621.954876098633,6.59294595167041,173.597459030151,40.4667032241821,0.0715367196500301,-0.746272010207176,26.8296696186066,16.4764557218552,62.6390338898078
