"","Point est.","Upper C.I."
"G[(Intercept) (C1), tr1 (T1)]",1.00492653747812,1.01718313994674
"G[imperv.100m (C2), tr1 (T1)]",1.03732031896994,1.11495635023212
"G[open.green.500m (C3), tr1 (T1)]",1.00220611514609,1.00774440630904
