"scientific","german","english","order","family","habitat_long","habitat","introduced","status","migrant","specid_elton","passnonpass","diet.inv","diet.vend","diet.vect","diet.vfish","diet.vunk","diet.scav","diet.fruit","diet.nect","diet.seed","diet.planto","diet.5cat","forstrat.watbelowsurf","forstrat.wataroundsurf","forstrat.ground","forstrat.understory","forstrat.midhigh","forstrat.canopy","forstrat.aerial","forstrat.cat","nocturnal","bodymass.value","log10_productivity","nest_type","foraging_habitat","developmental_mode","time_activity","social.system","migratory.mode","diet","scientific2"
"Parus ater","Tannenmeise","Coal Tit","Passeriformes","Paridae","Forest - Shrubland - Artificial/Terrestrial","Terrestrial","Native","LC","Semi",9896,"Passeriformes",40,0,0,0,0,10,0,10,20,20,"Omnivore",0,0,100,0,0,0,0,"low",0,9.2,0.202,"cavity","terrestrial","altricial","diurnal","Pair","nonmigrant","invertebrate","Parus_ater"
"Phoenicurus ochruros","Hausrotschwanz","Black Redstart","Passeriformes","Muscicapidae","Marine Coastal/Supratidal - Rocky areas (eg. inland cliffs - mountain peaks) - Shrubland - Artificial/Terrestrial - Grassland","Terrestrial","Native","LC","Migrant",9291,"Passeriformes",60,0,0,0,0,0,30,0,10,0,"Invertebrate",0,0,60,40,0,0,0,"low",0,16.5,0.104,"cave","terrestrial","altricial","diurnal","Cooperative","migrant","invertebrate","Phoenicurus_ochruros"
"Phoenicurus phoenicurus","Gartenrotschwanz","Common Redstart","Passeriformes","Muscicapidae","Forest - Grassland - Shrubland - Artificial/Terrestrial","Terrestrial","Native","LC","Migrant",9292,"Passeriformes",80,0,0,0,0,0,20,0,0,0,"Invertebrate",0,0,20,40,40,0,0,"multi",0,14.59,0.187,"cavity","terrestrial","altricial","diurnal","Pair","migrant","invertebrate","Phoenicurus_phoenicurus"
"Phylloscopus collybita","Zilpzalp","Eurasian Chiffchaff","Passeriformes","Sylviidae","Forest - Artificial/Terrestrial - Savanna - Shrubland - Wetlands (inland)","Terrestrial","Native","LC","Migrant",10929,"Passeriformes",80,0,0,0,0,0,10,0,10,0,"Invertebrate",0,0,25,25,25,25,0,"multi",0,8.3,0.045,"closed","terrestrial","altricial","diurnal","Pair","migrant","invertebrate","Phylloscopus_collybita"
"Phylloscopus sibilatrix","Waldlaubsänger","Wood Warbler","Passeriformes","Sylviidae","Forest - Savanna","Terrestrial","Native","LC","Migrant",10941,"Passeriformes",80,0,0,0,0,0,20,0,0,0,"Invertebrate",0,0,0,50,0,50,0,"multi",0,9.2,0.105,"closed","terrestrial","altricial","diurnal","Pair","migrant","invertebrate","Phylloscopus_sibilatrix"
"Phylloscopus trochilus","Fitis","Willow Warbler","Passeriformes","Sylviidae","Forest - Wetlands (inland) - Grassland - Shrubland - Savanna - Artificial/Terrestrial","Terrestrial","Native","LC","Migrant",10927,"Passeriformes",80,0,0,0,0,0,10,0,10,0,"Invertebrate",0,0,0,0,30,70,0,"multi",0,8.7,0.068,"closed","terrestrial","altricial","diurnal","Occasional","migrant","invertebrate","Phylloscopus_trochilus"
"Pica pica","Elster","Eurasian Magpie","Passeriformes","Corvidae","Forest - Rocky areas (eg. inland cliffs - mountain peaks) - Grassland - Shrubland - Artificial/Terrestrial","Terrestrial","Native","LC","Resident",8057,"Passeriformes",20,20,20,0,0,20,10,0,10,0,"VertFishScav",0,0,70,10,10,0,10,"multi",0,217.48,-0.618,"closed","terrestrial","altricial","diurnal","Pair","migrant","omnivore","Pica_pica"
"Picus viridis","Grünspecht","Eurasian Green Woodpecker","Piciformes","Picidae","Forest - Shrubland - Artificial/Terrestrial","Terrestrial","Native","LC","Semi",1048,"Nonpasseriformes",90,0,0,0,0,0,10,0,0,0,"Invertebrate",0,0,100,0,0,0,0,"low",0,176,-0.515,"cavity","terrestrial","altricial","diurnal","Pair","nonmigrant","invertebrate","Picus_viridis"
"Parus palustris","Sumpfmeise","Marsh Tit","Passeriformes","Paridae","Forest - Wetlands (inland) - Shrubland - Artificial/Terrestrial","Terrestrial","Native","LC","Resident",9870,"Passeriformes",50,0,0,0,0,0,20,0,20,10,"Omnivore",0,0,0,20,80,0,0,"mid",0,11.14,-0.104,"cavity","terrestrial","altricial","diurnal","Pair","nonmigrant","invertebrate","Parus_palustris"
"Prunella modularis","Heckenbraunelle","Dunnock","Passeriformes","Prunellidae","Artificial/Terrestrial - Forest - Shrubland","Terrestrial","Native","LC","Migrant",11910,"Passeriformes",50,0,0,0,0,0,0,0,50,0,"Omnivore",0,0,100,0,0,0,0,"low",0,20.24,0.11,"open","terrestrial","altricial","diurnal","Cooperative","migrant","invertebrate","Prunella_modularis"
"Regulus ignicapilla","Sommergoldhähnchen","Firecrest","Passeriformes","Reguliidae","Forest - Shrubland","Terrestrial","Native","LC","Migrant",10162,"Passeriformes",100,0,0,0,0,0,0,0,0,0,"Invertebrate",0,0,0,50,50,0,0,"multi",0,5.6,0.132,"closed","terrestrial","altricial","diurnal","Pair","migrant","invertebrate","Regulus_ignicapilla"
"Serinus serinus","Girlitz","Serin","Passeriformes","Fringillidae","Artificial/Terrestrial - Shrubland - Forest","Terrestrial","Native","LC","Migrant",12253,"Passeriformes",0,0,0,0,0,0,0,0,100,0,"PlantSeed",0,0,60,40,0,0,0,"low",0,11.2,NA,"open","terrestrial","altricial","diurnal","Pair",NA,NA,"Serinus_serinus"
"Sitta europaea","Kleiber","Wood Nuthatch","Passeriformes","Sittidae","Forest","Terrestrial","Native","LC","Resident",9616,"Passeriformes",70,0,0,0,0,0,0,10,10,10,"Invertebrate",0,0,33,33,33,0,0,"multi",0,20.37,-0.125,"cavity","terrestrial","altricial","diurnal","Pair","nonmigrant","invertebrate","Sitta_europaea"
"Sturnus vulgaris","Star","Common Starling","Passeriformes","Sturnidae","Marine Intertidal - Forest - Grassland - Artificial/Terrestrial - Artificial/Aquatic & Marine - Shrubland","Terrestrial","Native","LC","Semi",9510,"Passeriformes",20,0,10,0,0,10,30,10,20,0,"Omnivore",0,0,80,20,0,0,0,"low",0,77.14,-0.094,"cavity","terrestrial","altricial","diurnal","Occasional","migrant","omnivore","Sturnus_vulgaris"
"Sylvia atricapilla","Mönchsgrasmücke","Blackcap","Passeriformes","Sylviidae","Forest - Shrubland - Artificial/Terrestrial - Savanna","Terrestrial","Native","LC","Migrant",11383,"Passeriformes",50,0,0,0,0,0,30,10,10,0,"Omnivore",0,0,0,0,100,0,0,"mid",0,16.7,0.069,"open","terrestrial","altricial","diurnal","Pair","migrant","invertebrate","Sylvia_atricapilla"
"Sylvia borin","Gartengrasmücke","Garden Warbler","Passeriformes","Sylviidae","Forest - Shrubland - Savanna - Artificial/Terrestrial","Terrestrial","Native","LC","Migrant",11384,"Passeriformes",50,0,0,0,0,0,40,10,0,0,"Omnivore",0,0,0,60,20,20,0,"multi",0,18.2,-0.085,"open","terrestrial","altricial","diurnal","Pair","migrant","invertebrate","Sylvia_borin"
"Sylvia communis","Dorngrasmücke","Greater Whitethroat","Passeriformes","Sylviidae","Grassland - Shrubland - Savanna - Artificial/Terrestrial","Terrestrial","Native","LC","Migrant",11385,"Passeriformes",60,0,0,0,0,0,30,0,10,0,"Invertebrate",0,0,0,100,0,0,0,"low",0,15.1,0.023,"open","terrestrial","altricial","diurnal","Pair","migrant","invertebrate","Sylvia_communis"
"Sylvia curruca","Klappergrasmücke","Lesser Whitethroat","Passeriformes","Sylviidae","Forest - Wetlands (inland) - Shrubland - Savanna - Artificial/Terrestrial","Terrestrial","Native","LC","Migrant",11386,"Passeriformes",60,0,0,0,0,0,20,10,10,0,"Invertebrate",0,0,0,33,33,33,0,"multi",0,11.44,-0.063,"open","terrestrial","altricial","diurnal","Pair","migrant","invertebrate","Sylvia_curruca"
"Troglodytes troglodytes","Zaunkönig","Winter Wren","Passeriformes","Troglodytidae","Forest - Artificial/Terrestrial - Shrubland","Terrestrial","Native","LC","Semi",9750,"Passeriformes",60,0,10,10,0,0,10,0,10,0,"Invertebrate",0,0,50,50,0,0,0,"low",0,9.74,0.234,"closed","terrestrial","altricial","diurnal","Pair","migrant","invertebrate","Troglodytes_troglodytes"
"Turdus merula","Amsel","Eurasian Blackbird","Passeriformes","Turdidae","Forest - Grassland - Shrubland - Artificial/Terrestrial","Terrestrial","Native","LC","Semi",8941,"Passeriformes",50,0,0,0,10,0,20,0,20,0,"Omnivore",0,0,60,20,20,0,0,"multi",0,102.73,0.036,"open","terrestrial","altricial","diurnal","Pair","migrant","invertebrate","Turdus_merula"
"Turdus philomelos","Singdrossel","Song Thrush","Passeriformes","Turdidae","Shrubland - Artificial/Terrestrial - Forest","Terrestrial","Native","LC","Semi",8965,"Passeriformes",40,0,0,0,0,0,30,0,30,0,"Omnivore",0,0,100,0,0,0,0,"low",0,67.74,-0.129,"open","terrestrial","altricial","diurnal","Pair","migrant","invertebrate","Turdus_philomelos"
