"","pop_5km","distance_water","impervious_surface","light","noise","open_green","temp_cooldown","temp_day","temp_night","tree_cover"
"Nh_02",19665.474609375,1197.7255859375,19.4934940338135,200.409317016602,46.1478462219238,0.0951160788536072,-0.545144200325012,22.2235240936279,14.1127185821533,46.2108116149902
"Nh_04",14401.544921875,577.84912109375,22.6219329833984,207.829925537109,51.6190719604492,0.117600627243519,-0.647615790367126,25.586109161377,15.5390748977661,43.6270599365234
"Nh_05",335659.46875,561.029968261719,63.5438232421875,254.348815917969,57.8902206420898,0.126154258847237,-0.528764009475708,24.1176872253418,14.1037101745605,16.6326866149902
"Nh_10",95557.6796875,521.042053222656,53.895320892334,253.554504394531,57.9556617736816,0.105231046676636,-0.589731335639954,25.7712783813477,14.9849348068237,25.3407802581787
"Nh_11",37753.86328125,968.379211425781,24.1318874359131,229.74919128418,49.483268737793,0.48043492436409,-0.656275391578674,24.3683910369873,12.5905065536499,23.1651515960693
"Nh_51",27730.134765625,581.405090332031,26.7925796508789,214.55940246582,52.1250915527344,0.114315673708916,-0.624064266681671,25.1194324493408,15.2735118865967,40.3271827697754
"Nl_03",11349.642578125,516.0078125,5.49099636077881,128.739700317383,23.3354110717773,0.24521592259407,-0.368266731500626,14.2301149368286,8.3655834197998,29.96311378479
"Nl_05",154939.296875,628.253784179688,52.380443572998,252.988250732422,57.9914131164551,0.131659582257271,-0.617736518383026,26.0608406066895,14.8455419540405,26.8306407928467
"Nl_14",357062.3125,819.681579589844,71.2959976196289,254.884399414062,58.8402633666992,0.0696419179439545,-0.476050347089767,23.2808589935303,14.0493974685669,13.7555723190308
"Nl_16",36765.40234375,1603.93786621094,20.324800491333,215.808929443359,35.7866096496582,0.521712422370911,-0.451920390129089,16.7944679260254,8.81727123260498,22.0987510681152
"Nl_200",355649.3125,835.543334960938,71.0728378295898,254.82405090332,59.3740272521973,0.0728997588157654,-0.484573632478714,23.4799404144287,14.0724506378174,13.9256763458252
"Nl_205",74570.296875,500.331909179688,45.6215019226074,243.011779785156,55.2919616699219,0.0940604209899902,-0.558520555496216,24.4840641021729,14.8185768127441,28.1048698425293
"Nl_206",246146.375,679.586181640625,56.7809562683105,254.250518798828,61.3364715576172,0.0993589609861374,-0.558989465236664,24.5380458831787,14.3267335891724,23.4988574981689
"Nl_208",98977.9765625,486.250946044922,44.7088050842285,242.296417236328,57.3428649902344,0.0944192260503769,-0.604203522205353,25.9552268981934,15.4485778808594,31.0697784423828
"Nl_211",127410.953125,561.048767089844,55.3027534484863,253.613800048828,55.1376533508301,0.130759447813034,-0.60599011182785,25.8628196716309,14.6936330795288,25.7863121032715
"Nl_214",106223.78125,624.482238769531,52.9640083312988,253.541061401367,55.7330284118652,0.133873164653778,-0.585109770298004,25.0977096557617,14.3633480072021,26.1992683410645
"Nl_55",247568.71875,565.886840820312,55.4396629333496,253.936737060547,57.1749649047852,0.147819876670837,-0.572024822235107,24.8899936676025,14.3376407623291,22.1724891662598
"Nl_56",284376.40625,598.991333007812,76.4340362548828,254.985092163086,58.5105857849121,0.0545372106134892,-0.441117912530899,22.6477394104004,13.8535137176514,11.1458463668823
"Nm_02",16226.166015625,1317.02905273438,16.7504806518555,195.150192260742,44.3037528991699,0.0969998612999916,-0.536108911037445,21.5887603759766,13.7796154022217,48.5064926147461
"Nm_05",94155.1953125,502.362854003906,40.9810333251953,233.943954467773,55.0208396911621,0.101885512471199,-0.608157694339752,25.8886775970459,15.489577293396,32.046314239502
"Nm_07",284626.03125,591.9267578125,76.3757476806641,254.985610961914,58.5743751525879,0.0548540055751801,-0.440805912017822,22.6217288970947,13.8370561599731,11.1236896514893
"Nm_09",263759.0625,568.489013671875,57.5204849243164,254.095886230469,57.5443687438965,0.143568426370621,-0.559918880462646,24.6613521575928,14.2470083236694,20.7273693084717
"Nm_201",237336,550.544555664062,49.6019248962402,244.020965576172,55.8187675476074,0.0889462307095528,-0.545750141143799,23.8098602294922,14.3782844543457,28.5300197601318
"Nm_202",57822.87890625,529.725646972656,34.7049179077148,235.595550537109,52.9954414367676,0.182892337441444,-0.605717122554779,24.9248428344727,14.6383647918701,29.8461837768555
"Oh_01",55600.75,1297.06591796875,30.3293380737305,229.667495727539,46.4757957458496,0.155346125364304,-0.565251708030701,22.0988178253174,12.7672986984253,42.6059112548828
"Oh_02",68087.6875,950.460266113281,48.1997413635254,251.211059570312,49.2440567016602,0.145974382758141,-0.545202553272247,22.5462074279785,12.5510053634644,31.4872703552246
