"","pop_5km","distance_water","impervious_surface","light","noise","open_green","temp_cooldown","temp_day","temp_night","tree_cover"
"be19",105800.418862952,878.078587543534,55.9739017716373,254.114799959114,57.1547333590956,0.12665709090161,-0.588978641722576,25.4579327250101,14.3638240860169,26.1378764646599
"be25",77289.2771568481,928.400274103338,36.2953388816432,237.257578726591,53.7019203770104,0.105215307842031,-0.595911182570115,24.675055608795,14.6946008627495,37.4628846930545
"be2",45794.4718349359,702.530444648938,24.2815085484431,230.632543241061,39.5396914164225,0.149455002408761,-0.518058124719522,20.4586896260579,12.0173484410995,44.6354384984726
"be16",49349.0343226987,1020.06159392161,29.2698132183761,235.199431543071,49.9720812202996,0.467875158188233,-0.65696862352443,24.571993281153,12.5766823900295,21.1571407397921
"be20",326028.991310976,516.911064631764,73.5277402552163,254.896069782536,58.1033322217988,0.0671315237879753,-0.44854481859905,22.6525684077565,13.8290923653579,12.285266564532
"be21",183280.648974868,1029.35899619451,63.0699753937898,254.63027421255,58.8247943656154,0.104937395209042,-0.554012030520767,25.0525474245586,14.4310054274463,21.3464326505308
"be23",384573.308217005,941.067502714051,74.3712502881355,254.935431620796,58.2724840967788,0.059290840049383,-0.481933831109613,23.7495979657633,14.2146175839574,14.1911345690035
"be27",92235.4951041667,526.727306857639,48.6026416354709,248.699856431749,57.6210934956868,0.100569086571534,-0.607089439498054,25.9450353834364,15.1454179594252,29.9857265133328
"be10",298431.230447861,528.140194163603,53.2529967812931,252.865362728343,57.4414377059529,0.119472468281812,-0.556327372948754,24.2429216558283,14.2340933855842,25.026834192123
"be13",14623.2769794365,277.919984254195,5.4056464032188,135.939503684563,28.2960216541982,0.104417783377084,-0.371684233141687,15.9508003175567,10.5586876893908,31.9548820337483
"be14",69039.5901458909,1067.09162186259,37.0460421736069,244.660710118752,30.7743710470463,0.344653874141735,-0.358163613970108,15.1580044604138,8.63738871674511,22.9093599793661
"be12",145950.301491477,643.799390966242,41.7929350462827,247.794563900341,54.5049124847759,0.110713592476465,-0.585159767080437,24.6066943948919,14.5076651464809,34.5377757332542
"be22",278776.30339884,996.073458327461,67.312644093307,254.358591767931,57.964658402905,0.0791838516663645,-0.532329679457183,24.521231493999,14.2901522793721,19.2163088297107
"be11",150842.924453125,639.693283996582,47.321908454895,252.883203201294,51.317399482727,0.117495933286846,-0.548955588936806,23.7592403411865,13.8917588472366,30.374662322998
"be30",71451.7936476935,1074.19602820987,37.9380864461263,243.388563682919,34.0670927910578,0.341606709644908,-0.392820675032479,16.6880350226448,9.48249648639134,22.9717102096194
"be17",57563.5462861181,1176.85901369641,27.3433617251602,231.886244424024,40.3112532457515,0.520035798825211,-0.524575940478387,19.6027531647802,9.94645531812505,17.7941703508847
"be15",33667.6103117028,1576.78792213907,19.6013693225627,212.631182690056,34.2590174383047,0.518586770004156,-0.439568148127624,16.2160617137442,8.50592123002422,22.7120177989103
"be9",29257.3104926215,613.411887274848,20.9442720943027,210.978278619272,47.1419685505055,0.241472699575954,-0.615382353464762,24.0615076135706,14.1218291565224,35.4817557864719
"be29",88276.6089507919,1308.90533751061,30.3774693001449,239.872419814718,26.5455171749063,0.486508364860828,-0.310419729527305,13.2068885613351,7.50810964938203,17.1294518034922
"be18",113378.327744932,864.927341770481,47.4903605693095,246.733143821923,58.0977057792045,0.249102648045566,-0.637228408375302,25.8700756382298,14.0675445401991,23.0660073357659
"be28",17309.8904095818,453.401654155314,18.1575472775628,193.415154336881,50.4882463727679,0.0688683100420387,-0.630956813317387,25.9899728117871,16.5387721582621,45.9218525445762
"be26",154983.08851601,541.363058155981,60.1959372083542,254.100873975331,57.879223452413,0.135832239107545,-0.559137487352775,24.8001470800691,14.3301015017655,19.654317611544
"be3",51217.7379454186,890.647721648756,25.7094323689042,200.815469318925,30.8185590683605,0.172656155347285,-0.411867594152554,16.4681406107424,9.87260709736682,38.9383623977592
"be5",155912.509210526,542.391933882864,48.5899031187359,250.903106528834,60.5854256880911,0.103224135307889,-0.574935574594297,24.9589253877339,14.7843690069098,26.2127985602931
"be6",124667.988248967,330.270654473423,53.5266302912688,253.925747390621,61.6527905424764,0.109779003699703,-0.563774953696353,25.1517470730238,14.8861170918488,21.8182639996868
"be7",318852.429413377,471.012988977265,64.5632486008761,254.171130264015,59.6143026686551,0.0794557893093218,-0.498051373843561,23.6562668984396,14.2008921096199,18.1347497053314
"be8",162989.755263158,697.700210089433,44.8686341135125,247.48596231561,52.1446235054418,0.209027943564089,-0.513285432363811,22.668988669546,13.1762026887191,21.8438249186466
"be24",389089.869817073,636.285495962748,61.8548716289241,253.867489698457,58.20192554753,0.102084533979253,-0.512314040050274,23.2896292337557,13.7395532608032,19.8610234888589
"be4",30500.9579882813,468.595209350586,20.0585337352753,205.493449783325,46.5890763282776,0.0942753237858415,-0.601508946120739,24.1757080841064,14.9260859251022,45.4107897949219
