"","pop_500m","distance_water","impervious_surface","light","noise","open_green","temp_cooldown","temp_day","temp_night","tree_cover"
"be19",681.773508370641,323.904298069965,53.2843936552484,254.036944561694,61.3563285735716,0.0257320070259769,-0.589009248348604,24.3168428030359,13.4917820447899,40.7987000339002
"be25",1573.99436468827,196.484136517538,49.656311911259,252.503970716559,61.928917150178,0.130634294029628,-0.585583314228286,25.5103803570761,14.8144305334137,27.1992197766829
"be2",14.823527795382,971.958177302434,0.593422748155605,228.973513637445,43.4952903551933,0.00162262150432723,-0.797368298738431,27.8099464123066,17.4420202597594,78.6878801785983
"be16",420.954803402953,1479.64339941815,43.3545183237626,248.338857036255,65.9932281462219,0.141043619473615,-0.673496701976744,26.3835218740806,14.1342087789559,42.9668587640738
"be20",3894.3000357279,571.376321783298,83.7432066754597,255,54.668042159662,0.00142412868946583,-0.446819745040521,24.2167371982481,14.7273672987775,12.7228325983373
"be21",514.486500967117,336.720190744551,24.8919664816882,254.973057499638,55.5573749239483,0.472554234482309,-0.738394164219104,28.8721227292661,16.6654832426202,19.290071740983
"be23",6733.95946645979,1589.82798248136,86.5636266330777,255,56.0636563373701,0.0230964142643772,-0.41741595942962,22.0986783468179,13.4287266561828,6.00128503983396
"be27",1512.79620381673,1279.64531521267,64.5949656846788,253.850695732964,59.5741227383084,0.0382202138128276,-0.552035770946079,24.5559002516005,14.1677193366157,24.8714564344618
"be10",5302.28455569017,892.489504237863,86.5653273638557,254.054662939061,56.1376197937338,0.000976079819080567,-0.40185411585206,21.618215785307,13.435239016691,7.78927884509857
"be13",5.20973722011314,77.862108793901,0.0164003886977317,100.895013759791,22.9130864316318,0.0684228934386234,-0.657156312095069,26.9729174184058,17.3447121437349,47.6418256216099
"be14",75.4342542368898,855.877518121709,8.38417643741113,247.551238002039,36.040959121114,0.60503984353819,-0.568476550322211,20.2594855503483,10.4499907994139,27.1288542958254
"be12",1707.39881134033,841.368001764471,52.4448907483708,253.580710150979,53.8329105377197,0.104608529767409,-0.533008909699592,23.6266174424778,14.0015156160701,24.8744430975481
"be22",4117.37463756443,456.836724586094,86.0871877768605,254.854728384116,53.3377800381061,0.00172729710479361,-0.44336989306912,22.30438877381,13.5147553768355,8.2243965206687
"be11",1350.56303253174,211.623814659119,49.8255713272095,253.527970428467,57.4612935066223,0.132559402324259,-0.55780832439661,24.8045278835297,14.8225486326218,23.4419255447388
"be30",904.131016177223,671.015278952462,37.6942428974878,252.57993207659,46.5541334538233,0.331998534642515,-0.606901293744644,23.8120523747944,12.7872766540164,27.025164948191
"be17",0.183025068973177,1368.64451898163,0.246737499076384,192.08523597909,52.7628019514994,0.993093394154879,-0.98367397299963,30.5834971768173,13.1534737390489,0.454863814178424
"be15",67.1387890308183,1103.24086029676,8.08192397368958,239.774807287722,62.7615941495311,0.690061946152424,-0.851660745788594,29.7008735306409,14.2871447290693,15.2839002111043
"be9",3.87550163320729,410.572989075272,0.508668551310957,216.056741573192,38.6307532522413,0.0272947619758741,-0.742739786152486,27.0978563538304,17.0815076209881,69.1770260245712
"be29",1509.4195250084,1099.41381780702,55.7917347558483,252.938718907973,54.8879172036011,0.0521494214684672,-0.572687203528115,24.9526944570412,14.3340220645542,34.0526261221769
"be18",291.019227120683,868.877049131651,44.8468131348893,247.571419793206,59.8881104752824,0.201720635323444,-0.698795846990637,28.4425750010722,15.1836617959512,35.5842142156652
"be28",1.13728303986625,330.175268221302,1.02346047762969,146.797318017783,47.2172335135837,0.022100758678407,-0.767833487075918,27.2800419190351,17.1008084882207,74.4736962999616
"be26",2726.86575482749,210.750448969197,63.9569206237793,254.875286459336,55.5039484747525,0.108557937318675,-0.535344307792598,25.0098809585195,15.0530881364945,16.3000338629549
"be3",89.8776835170806,249.508221794577,18.85609807364,175.033706112685,34.2751558053547,0.13880363823551,-0.763461580373583,28.454281923458,16.0424880679377,52.3917233566353
"be5",3513.14575131065,864.442566239206,75.0694642518696,254.374113062808,64.3405559138248,0.0165277058551414,-0.507800672869933,24.3368433801751,14.5794725468284,15.2958919976887
"be6",2528.39633199991,390.135144005137,62.4473611815902,253.855203360565,58.2921391636872,0.0319606343112633,-0.544837887375808,25.5753052057314,15.2924678700029,24.2305177341808
"be7",4923.95763838919,492.220686761956,85.3635149504009,254.999355918483,53.2986201236123,0.00555190963508753,-0.426784211083462,22.4168652066013,13.8391498306341,9.63150585952558
"be8",1370.54518769917,403.511112895765,79.4219834980212,254.437517427143,59.5076093372546,0.00120939931125337,-0.548222906495396,26.0555190738879,14.9715822169655,17.1233237103412
"be24",4088.38126131383,521.253705801615,66.5556399647783,254.959814304259,57.4309415677699,0.153414556987175,-0.445641520110572,21.02728832524,12.558988236218,12.9478563890225
"be4",234.63659591265,601.581518249512,5.49998685041442,174.246929855347,41.0900205802917,0.0546105444185378,-0.755079770088196,27.052115983963,16.6535851192474,66.1146816635132
